quantity_gwh;country_key;year_key;flow_type_key;source_type_key
226461901;0;13;;0
514665;0;13;;0
9927051;0;13;;0
216020184;0;13;;0
6783273;1;13;;0
133979356;0;13;;1
97685223;0;13;;2
2895415;0;13;;3
30919272;0;13;;4
2479446;0;13;;5
1047854;0;13;;6
27192534;0;13;;7
54811471;0;13;;8
94961991;0;13;;9
17469034;1;13;;1
1673548;1;13;;2
738682;1;13;;3
10350865;1;13;;4
4074009;1;13;;5
631929;1;13;;1
41874854;1;13;;6
7795912;1;13;;7
686574;1;13;;8
25;1;13;;10
6331;1;13;;11
54431374;1;13;;9
216089;1;13;4;0
20351686;1;13;5;0
6267909;1;13;;0
3134765;1;13;;0
5968727;1;13;;0
67991069;2;13;;0
29055618;2;13;;12
15217645;2;13;;1
12419;2;13;;2
58373;2;13;;3
12470054;2;13;;4
2009037;2;13;;5
667762;2;13;;1
1645348;2;13;;6
20766035;2;13;;7
1142926;2;13;;8
163496;2;13;;11
25563347;2;13;;9
1651328;2;13;4;0
14634889;2;13;5;0
1491022;2;13;;0
283009;2;13;;0
65548348;2;13;;0
559822209;3;13;;0
75409104;3;13;;12
115749467;3;13;;1
3157887;3;13;;2
3924441;3;13;;3
70842532;3;13;;4
9284452;3;13;;5
119172;3;13;;1
322169259;3;13;;6
43053892;3;13;;7
3097153;3;13;;8
343333;3;13;;11
377604756;3;13;;9
25790745;3;13;4;0
32967227;3;13;5;0
178475;3;13;;0
30821795;3;13;;0
521645456;3;13;;0
;4;13;6;1
77349912;4;13;;0
20998702;4;13;;1
10773487;4;13;;2
249683;4;13;;3
6113563;4;13;;4
3861969;4;13;;5
30528617;4;13;;6
8781312;4;13;;7
16604501;4;13;;8
436779;4;13;;10
60213179;4;13;;9
3094811;4;13;;0
742551;4;13;;0
75262379;5;13;;0
35854448;5;13;;1
11680431;5;13;;2
3406925;5;13;;3
18952959;5;13;;4
1814133;5;13;;5
38848369;5;13;;6
559563;5;13;;8
41222065;5;13;;9
4228;5;13;4;0
1042114;5;13;5;0
4016865;5;13;;0
70207629;5;13;;0
;6;13;6;1
984843;6;13;;0
1541;6;13;;1
14491;6;13;;3
919;6;13;;5
6784145;6;13;;6
2062711;6;13;;7
66209;6;13;;8
919955;6;13;;10
9833939;6;13;;9
984843;6;13;;0
65664387;7;13;;0
2561522;7;13;;12
35005481;7;13;;1
27431493;7;13;;2
66177;7;13;;3
3167392;7;13;;4
4260194;7;13;;5
80226;7;13;;1
3655029;7;13;;6
919955;7;13;;7
381981;7;13;;8
86721;7;13;;11
9217159;7;13;;9
15457964;7;13;4;0
24649571;7;13;5;0
134002;7;13;;0
3021434;7;13;;0
52111326;7;13;;0
36590273;8;13;;0
13217249;8;13;;1
1816344;8;13;;2
204482;8;13;;3
1178666;8;13;;4
9485499;8;13;;5
532258;8;13;;1
24949;8;13;;6
23128606;8;13;;7
219469;8;13;;8
32858523;8;13;;9
16655057;8;13;4;0
15539417;8;13;5;0
425509;8;13;;0
33450824;8;13;;0
485091;9;13;;0
4258348;9;13;;1
2903692;9;13;;2
25502;9;13;;3
28891;9;13;;4
1235881;9;13;;5
64383;9;13;;1
33014;9;13;;6
53605;9;13;;7
23497;9;13;;8
1828443;9;13;;9
6269519;9;13;4;0
279024;9;13;5;0
405296;9;13;;0
7924893;9;13;;0
78067954;10;13;;0
32033729;10;13;;12
19650996;10;13;;1
3879706;10;13;;2
159104;10;13;;3
1317346;10;13;;4
13850034;10;13;;5
444808;10;13;;1
13326698;10;13;;6
12865007;10;13;;7
1569;10;13;;8
175833;10;13;;11
40057429;10;13;;9
12327967;10;13;4;0
5005552;10;13;5;0
3467134;10;13;;0
81923235;10;13;;0
51535019;11;13;;0
31539;11;13;;12
49428887;11;13;;1
193547;11;13;;2
5002937;11;13;;3
31410835;11;13;;4
9325581;11;13;;5
